2500,1.553,0.0
2506,1.553,0.001
2512,1.553,0.002
2518,1.553,0.002
2525,1.553,0.003
2531,1.553,0.003
2538,1.554,0.004
2544,1.554,0.004
2551,1.554,0.004
2557,1.554,0.004
2564,1.554,0.004
2570,1.554,0.004
2577,1.554,0.004
2584,1.554,0.004
2590,1.554,0.004
2597,1.554,0.004
2604,1.554,0.004
2611,1.554,0.003
2617,1.554,0.002
2624,1.553,0.002
2631,1.553,0.002
2638,1.552,0.001
2645,1.551,0.001
2652,1.551,0.0
2659,1.55,0.0
2666,1.55,0.0
2673,1.549,0.0
2681,1.548,0.0
2688,1.547,0.0
2695,1.546,0.0
2702,1.545,0.0
2710,1.543,0.0
2717,1.542,0.0
2724,1.541,0.0
2732,1.54,0.0
2739,1.539,0.0
2747,1.538,0.0
2754,1.537,0.0
2762,1.535,0.001
2770,1.534,0.001
2777,1.534,0.002
2785,1.532,0.003
2793,1.532,0.003
2801,1.531,0.004
2809,1.53,0.005
2816,1.53,0.006
2824,1.529,0.007
2832,1.529,0.008
2840,1.528,0.008
2849,1.528,0.009
2857,1.528,0.01
2865,1.527,0.01
2873,1.527,0.01
2881,1.527,0.011
2890,1.526,0.011
2898,1.526,0.011
2907,1.525,0.011
2915,1.525,0.012
2924,1.524,0.012
2932,1.523,0.013
2941,1.522,0.013
2949,1.522,0.014
2958,1.521,0.014
2967,1.52,0.015
2976,1.519,0.016
2985,1.519,0.017
2994,1.518,0.018
3003,1.518,0.019
3012,1.517,0.02
3021,1.517,0.021
3030,1.516,0.022
3039,1.516,0.023
3048,1.516,0.024
3058,1.516,0.025
3067,1.516,0.025
3076,1.515,0.026
3086,1.515,0.027
3096,1.514,0.028
3105,1.514,0.028
3115,1.514,0.029
3125,1.513,0.03
3134,1.513,0.032
3144,1.513,0.033
3154,1.512,0.035
3164,1.513,0.036
3174,1.513,0.038
3184,1.513,0.039
3194,1.513,0.04
3205,1.514,0.042
3215,1.514,0.043
3225,1.515,0.044
3236,1.516,0.046
3246,1.517,0.047
3257,1.518,0.048
3268,1.519,0.049
3278,1.521,0.049
3289,1.522,0.05
3300,1.524,0.05
3311,1.525,0.05
3322,1.527,0.05
3333,1.528,0.05
3344,1.528,0.05
3355,1.53,0.05
3367,1.53,0.049
3378,1.531,0.049
3389,1.532,0.048
3401,1.532,0.048
3413,1.533,0.047
3424,1.533,0.047
3436,1.534,0.047
3448,1.534,0.047
3460,1.535,0.047
3472,1.536,0.047
3484,1.536,0.047
3496,1.537,0.046
3508,1.539,0.046
3521,1.54,0.045
3533,1.541,0.045
3546,1.542,0.044
3558,1.543,0.042
3571,1.544,0.041
3584,1.545,0.04
3597,1.547,0.038
3610,1.548,0.036
3623,1.549,0.033
3636,1.549,0.03
3649,1.549,0.027
3663,1.548,0.024
3676,1.546,0.021
3690,1.544,0.018
3703,1.542,0.016
3717,1.54,0.015
3731,1.537,0.013
3745,1.536,0.012
3759,1.533,0.01
3773,1.531,0.009
3787,1.528,0.008
3802,1.526,0.008
3816,1.523,0.007
3831,1.52,0.008
3846,1.518,0.008
3861,1.516,0.006
3876,1.513,0.009
3891,1.511,0.009
3906,1.51,0.01
3921,1.508,0.011
3937,1.507,0.011
3952,1.506,0.011
3968,1.504,0.011
3984,1.501,0.011
4000,1.499,0.012
4016,1.498,0.013
4032,1.496,0.014
4048,1.495,0.015
4065,1.494,0.016
4081,1.493,0.017
4098,1.492,0.017
4115,1.49,0.017
4132,1.489,0.018
4149,1.487,0.018
4166,1.485,0.019
