2,0.99639,0.00211
3,0.9953,0.00326
4,0.99054,0.00951
6,0.9815,0.0149
11,0.9613,0.0288
13,0.9436,0.0331
17,0.886,0.0694
24,0.861,0.22
25,0.868,0.25
30,0.892,0.256
32,0.964,0.318
35,0.922,0.259
37,0.903,0.259
40,0.854,0.209
44,0.83,0.24
46,0.812,0.279
48,0.811,0.305
53,0.768,0.31
58,0.73,0.406
61,0.79,0.61
67,0.762,0.607
71,0.79,0.716
73,0.83,0.75
74,0.78,0.721
83,0.851,0.853
87,0.917,0.953
91,0.977,1.04
93,0.971,1.05
98,0.996,1.08
102,1.05,1.13
104,1.09,1.15
106,1.06,1.13
108,1.25,1.2
113,1.29,1.17
120,1.39,1.2
121,1.23,1.17
